Абонент	Телефон	Номер_дома	Счет
ЦЕХ_19_СЕВЕРНАЯ	6470449	14	15,73
"МЧП_""МОНОЛИТ"""	76253669	57	63,35
СЕВЕРНАЯ,ИНКЕРМАН,БОГДАНОВА_10	8817056	37	6,69
ОХРАНА_ПОСТ_МИЛИЦИИ	57611306	16	65,78
РАСЧЕТ_С_НАСЕЛ._АТС-24,59	15721250	45	11,24
ОТДЕЛЕНИЕ_ЭЛЕКТРОСВЯЗИ_108	94398723	5	21,09
ПРИЕМНАЯ_КИЗЮКА	18082999	52	50,54
БАЛАКЛ_ДОФ_ВЕСОВАЯ	83001951	4	34,28
НАЧАЛЬН_ОТДЕЛА_МОРЕПЛАВАНИЯ	3778599	38	90,93
ОКС_ОБЩИЙ	883369	58	92,57
ОТД.КАДРОВ-СЕКТОР_ПОДГОТ.КАДР.	17009605	29	82,66
ОТД_ГОТОВЫХ_И_ФИРМЕННЫХ_ЛЕКАРС	62420331	68	26,71
"ЧП_ПФК_""ДИАМАНТ"""	93403045	7	62,01
"ТОРГОВЫЙ_ДОМ_""ТАВРИЧЕСКИЙ"""	59993173	8	85,43
"КНИЖНЫЙ_МАГАЗИН_1_""ПОДПИСНЫЕ_ИЗДАНИЯ""_ЗАО_""СЕВАСТОПОЛЬКНИГА"""	81313496	10	74,14
"СПОРТКОМПЛЕКС_СГП_""АТЛАНТИКА"""	38980513	143	61,34
РЕНТГЕН_КАБ_СТАЦИОНАРА	94861010	33	15,79
"МАГАЗИН_ГАСТРОНОМ_МЧП_""ТАРИДА"""	46817793	15	76,59
ЧАСТНЫЙ_НОТАРИУС_СЕВ._ГОР._НОТАР._ОКР._ВОДЯХИНА_О.А.	82984276	21	24,19
ЗАКАЗ_АВИАБИЛЕТОВ	5002900	23	60,78
ОТД_ВОССТАНОВИТЕЛЬНОГО_ЛЕЧЕНИЯ	46936190	49	8,52
"ЭКОНОМИСТ_К.57""Б"""	77662989	2	10,23
МОРСКАЯ_БИБЛИОТЕКА	4457887	41	34,93
УВПМ_СМЕН_МЕХАНИК	41701858	156	95,22
МЕДПУНКТ_ВРАЧ	75086417	13	39,87
ОТДЕЛЫ_ИНФОРМ_РАБОТ	63349433	229	41,53
ДЕЖУРНАЯ_ЧАСТЬ_К.101	70851730	2	49,9
МИНИПЕКАРНЯ_ЧП_СТЕПАНОВА_А.Б.	94729783	7	73,9
СЕВАТ._ГОРОД._ОРГАНИЗАЦИЯ_НАРОДНО-ДЕМОКРАТИЧЕСКОЙ_ПАРТИИ_УКРАИНЫ	86741466	14	87,65
ГЛАВНОГО_ТЕХНОЛОГА_ОТД	30070972	51	37,79
МЕДИЦИНСКИЙ_ЦЕНТР	4842975	2	72,13
"ЗАО_""ПЕРЕСВЕТ"""	49626632	428	62,65
ПР_И_МР	34426656	31	47,98
ПЕДИАТРИЧЕС_ОТД_ДО_1_ГОДА_ПОСТ	24707258	2	45,28
МОРСКОЕ_ОТДЕЛЕНИЕ_УКРНИГМИ	33961266	183	56,09
СЛУЖБА_ОХРАНЫ_ТРУДА_НАЧ	41801917	41	13,52
АСУ_ИВЦ	67454635	3	7,28
ОСТАНОВКА_ТРОЛЛЕЙБУСА	18231878	49	99,8
ЗАМ_ПО_ОРГ-КАДР_РАБОТЕ	55257571	103	86,88
КОТЕЛЬНАЯ_КЧФ_899_ГРУППЫ_ТЕХ._СИСТЕМ	77525287	16	12,8
ЦПР_НАЧ	50679000	75	6,72
ЗАВЕДУЮЩИЙ_РАЙОНО	3566914	328	9,42
КАБИНА_7	78936518	55	62,45
ДВЕ_СОЕДИНИТЕЛЬНЫЕ_ЛИНИИ_055	91670234	38	48,93
"МАГАЗИН_""АТЛАНТ""_ПКП_""ДОМИНАТА""_(МАГ_ХОЗ)"	94806450	13	93,57
РОЗНИЦЫ_ОТД	72651985	15	8,16
ОТД_КАДРОВ_ДЕЖУРНЫЙ	38294857	47	20,71
ДЕПО_1_КАССА	6966680	332	74,15
"ЗАО_""ПАЛЛАДА"""	52205533	9	33,99
КАБ._ГЛ.БУХГАЛТЕРА	10867799	12	11,45
СЕВАСТОПОЛЬСКИЙ_ГОРОДСКОЙ_СОВЕТ	10761983	37	25,34
"КООПЕРАТИВ_""ПОБЕДА""_АВТОСТОЯНКА"	72609725	48	84,24
"СЕВАСТОП_ФИЛИАЛ_АКЦИОНЕРНОГО_ОБЩЕСТВА_ЗАКРЫТОГО_ТИПА_""КРЫМ-ЛАДА"""	78195743	69	59,65
ВОХР	10808509	15	23,4
"ЧП_""АСП""_БАР_""ТАВРИЯ"""	92768805	24	30,17
КОММЕРСАНТЫ	45336273	54	65,87
К._514	47622308	37	36,96
НАЧАЛЬНИК_ГЛ_БУХГАЛТЕР	50033317	9	40
ГЛАВНЫЙ_ИНЖЕНЕР,_ОТД_КАДРОВ	10304922	113	18,33
ЦЕХ	61532526	24	19,84
"ТПО_""КРЫМАВТОТРАНС"""	9541103	19	23,32
ДОМ_КОМАНДУЮЩЕГО_ЧФ_КОМЕНДАТУРА_ЧФ_115	62363856	398	79,58
"К/Т_""СПУТНИК"""	12296855	19	7,15
"САЛОН_""ВАЛЕНТИНА"""	75967471	8	58,86
ДИРЕКТОР_КОММЕРЧЕСКИЙ	60207475	17	60
МАГАЗИН_ВОЕНТОРГА	75245285	34	50,16
РШ-413_ЦТЭ_МТС	3164120	37	18,47
"МАГАЗИН_""ПРОМТОВАРЫ""_ГРЭС"	87764025	78	90,8
"СПЕЦИАЛИЗИРОВАННАЯ_ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКАЯ_БАЗА_""ПЛАМЯ"""	93635379	51	39,98
НЕФРОЛОГИЧЕСКОЕ_ОТД_ЗАВ_ОРДИН	82202062	41	94,36
"ПО_МЕДИЦИНСКАЯ_КОРПОРАЦИЯ_""ЮГ_МЕД-21_ВЕК"""	67829187	16	40,59
ОКУН	5272620	2	66,33
2-Е_СОЕДИНИТЕЛ.ЛИНИИ	50327681	34	63,13
"БАР_""ДИАНА"""	19184517	77	26,63
ОП	38238369	42	51,15
ТРУДА_И_ЗАРПЛАТЫ_ОТДЕЛ	74164667	8	62,28
БУХГАЛТЕРИЯ_МЕДКАБИНЕТ	68177775	6	93,22
ДЕЖУРНЫЙ_СТРЕЛЕЦКАЯ	50025760	4	18,09
СЕВАСТОПОЛЬСКИЙ_ОТРЯД_НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ_СУДОВ	35227753	12	26,28
СПОРТИВНО-ТЕХНИЧЕСКИЙ_КЛУБ_ПО_ВОДН_ВИДАМ_СПОРТА_(ВОДНАЯ_СТАНЦИЯ)	56396268	60	50,47
"ДПСП_""ЗАВОДСКОЕ""_ОАО_""СЕВМОРЗАВОД"""	78148894	6	48,52
ГОРОДСКАЯ_ФИЛЬМОТЕКА_УПРАВЛЕНИЯ_ОБРАЗОВАНИЯ	8008301	106	25,74
МЕДКАБИНЕТ_БУХГАЛТЕР	96254946	6	89,91
КАБ.11	50343940	76	12,56
ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСК_ОТД	9860549	2	51,51
"ОФИС_ООО_""АКАР"""	94731172	162	12,33
ДЕТСКИЙ_САД_122	62239374	38	28,52
"СЛУЖБА_СЕМЬИ_АП_НЕПРОМЫШЛЕННЫХ_ВИДОВ_БЫТОВЫХ_УСЛУГ_""БЫТЭКСПРЕСС"""	5329827	133	7,04
"Р-Н_""ДЕЛЬФИН"""	10778434	85	95,61
УПРАВЛЯЮЩИЙ_ДЕЛАМИ	91016694	140	29,79
"ЗАО_""ЮГРЫБСТРОЙ"""	43437786	159	35,72
"ООО_""МК-МАРКЕТ"""	65736607	25	70,36
"БАННО-ПРАЧЕЧНЫЙ_КОМБИНАТ_МГП_""БЫТ"""	52118270	10	45,64
"МАГАЗИН_""МАШЕНЬКА""_ТАКСОФОН"	47485977	9	22,39
ЗАМ._НАЧ._НАЛОГОВОЙ_ПОЛИЦИИ	5871959	8	68,02
"ПРОМ_БАЗА_АПСО_""СЕВЖИЛСТРОЙ""_(ДСК)"	66568048	70	36,39
АРХИВ_СКЛАД	31528284	40	12,08
ОТД._ОРГАНИЗАЦИИ_УПРАВЛ.	73206252	15	39,83
СЕВАСТОПОЛЬСКАЯ_ТАМОЖНЯ	36231028	14	7,57
ЗАВ_ПРОИЗВ	254074	46	55,89
ОТДЕЛЕНИЕ_СВЯЗИ_ОРЛИНОЕ	7415422	164	39,83
ЗАМ_ГЛАВНОГО_ВРАЧА	45356687	33	19
"ДИСПЕТЧЕРСКИЕ_ПУНКТЫ_МАРШРУТОВ_ГКП_""СЕВТРОЛЛЕЙБУС"""	27547472	65	30,76
КОМНАТА_223	45781576	35	93,41
"ОБЩЕЖИТИЕ_ГКП_""СЕВТРОЛЛЕЙБУС"""	24209762	8	50,39
ЖДУ_ТАБЕЛЬЩИК	40574957	13	27,94
ГЛ_АКУШЕР-ГИНЕКОЛОГ	21467683	78	23,2
НАЧ_СЛЕДСТВ_ОТД	41806219	42	43,76
ПРИЕМНАЯ-ФАКС	76451049	2	67,78
"КИНОТЕАТР_""ОКЕАН""_ОБЪЕДИНЕННОЙ_ДИРЕКЦИИ_КИНОТЕАТРОВ_N_1"	17605894	256	75,18
ОТДЕЛ_ТЕХНИЧ_ЭКСПЛУОТ_ФЛОТА	95944175	1	26,4
ВЫЧИСЛИТЕЛЬНЫЙ_ЦЕНТР_ОПЕРАТОР	14073145	14	63,92
КОМНАТА_224	9633279	32	52,53
"ОФИС_ЧП_ФАРМАЦЕВТИЧЕСКОЙ_ФАБРИКИ_""ЭХИНОПС"""	4332140	6	6,42
ЗАМ_ГЛ_ВРАЧА_ПО_ХИРУРГИИ	47054894	67	84,51
АУДИТ_ЮРИДИЧЕСКИХ_ЛИЦ	18985261	11	43,61
БЕНЗОСКЛАД	45404055	14	56,87
ОТД_КОММУНАЛЬНОЙ_ГИГИЕНЫ	5290130	32	76,8
КАРДИОЛ_ОТД_1_КАБИНЕТ_ЭКГ	59398852	98	26,18
ШКОЛА_35	96987889	52	57,74
ГЛАВНЫЙ_ЭНЕРГЕТИК	12159560	24	21,16
ШТАБ_ВОЕННО-МОРСКИХ_СИЛ_УКРАИНЫ	37229766	2	33,78
"ГОРСОВЕТ_СПОРТИВНОГО_ОБЩЕСТВА_ПРОФСОЮЗОВ_(""СПАРТАК"")"	85650449	16	37,03
МАСТЕР_СТОЛЯРНОГО_ЦЕХА	50138047	55	61,74
К.22_ПРЕДСЕДАТЕЛЬ_ГОРСОВЕТА	21065983	178	88,4
"ПОМЕЩЕНИЕ_ООО_""ТАВРИДА-ЭЛЕКТРИК"""	22781409	61	30,01
КОНТРОЛЬНО-РЕВИЗИОННЫЙ_ОТД	35109947	130	37,8
РОДДОМ_2_(2_ЭТАЖ)	96468371	2	3,68
АПС_ДРСУ-2	86517410	2	15,43
НАЧ-К_ВОЕННОЙ_КОМЕНДАТУРЫ	87669396	34	91,31
ВНУТРЕННЯЯ_СВЯЗЬ_36	22081785	6	12,63
ЛАБОРАТОРИЯ_САНИТАРНОЙ_ВЕТЕРИНАРНОЙ_ЭКСПЕРТИЗЫ_Ц/РЫНОК	33460237	27	18,15
ЦТЭ_МТС_МЕТРОЛОГИЧЕСКАЯ_ЛАБОРАТОРИЯ	63414678	7	10,78
КОТЕЛЬНАЯ_ГЕЛОВАНИ_3	99698435	62	54,94
ХУДОЖНИК	15158570	5	58,45
"ООО_""ЯХТ-КЛУБ_ЮГ""_ВОДНОСПОРТИВНАЯ_БАЗА_ОТДЫХА"	20500839	58	4,29
ЗАМ_ДИРЕКТОРА_БУХГАЛТЕР	74170585	10	68,2
"ЧП_""ЮГИНПРОМ"""	36568	85	31,52
МАГАЗИН_ДЛЯ_МАЛООБЕСПЕЧЕННЫХ	86819322	46	63,02
"РЕСТОРАН_""УКРАИНА"""	41138496	5	46,48
СУДЬЯ_СУХОВЕРШИНА	18374132	454	69,87
МСС	52152312	52	83,1
ЛЕНИНСКАЯ_РАЙОННАЯ_ГОСАДМИНИСТРАЦИЯ	77590632	9	4,1
ТЕРАПЕВТИЧ_ОТДЕЛ_ЗАВ	10893537	12	73,21
"ЧП_""ФИРМА_""РОЗА_ВЕТРОВ"""	13034755	92	1,52
"ФИРМА_""АЙРИС""_ЛТД"	89643115	42	98,44
ВНЕШНЕЭКОНОМИЧ_ДЕЯТЕЛЬНОСТ_ОТД	96111786	104	84,12
ПРИЧАЛ_155	8948603	270	6,14
УПРАВЛЕНИЕ_И_ОК	81639790	8	0,7
ДИРЕКТОР,ГЛАВ_БУХГАЛТЕР	92868203	12	32,05
"СКЛАД_ООО_""КРЫМСКАЯ_ПРОМЫШЛЕННАЯ_КОМПАНИЯ"""	7065727	10	27,94
ОХР_ТРУДА	11985503	401	74,19
МАРКЕТИНГА_ОТДЕЛ	62688871	44	41,9
ШКОЛА_3	82556287	14	31,01
ОБЩИЙ_ТОРГОВЫЙ_ОТД	13433683	13	43,68
"ООО_""КОРАДИС""_МАГАЗИН_76"	30791642	167	75,51
КОМПЬЮТЕРИЗАЦИИ_УПРАВЛЕНИЕ	72687865	13	9,94
"О.А.О._""СЕВНЕФТЕПРОДУКТ_-_СЕРВИС"""	56518869	63	43,67
"ПОМЕЩЕНИЕ_ЛИТЕР-""А"""	31799936	45	29,65
"ЧП_""ЭССЕ"""	39526772	59	90,81
СПОРТИВНО-ОЗДОРОВИТЕЛЬНЫЙ_КОМПЛЕКС_ИМ_200-ЛЕТИЯ_СЕВАСТОПОЛЯ	53360216	8	82,03
"САЛОН-МАГАЗИН_""KARCНER""_ЧП_""ВНЕШПРОМАГРОСЕРВИС"""	66366191	460	18,97
ДЕПАР_ЭКОНОМИКИ_ДИРЕКТОР	58467677	3	67,97
СТАТИСТ	53748419	57	99,44
"ЧП_""МУСКАТЫ_КРЫМА"""	46043565	38	74,14
ЗАМЕСТИТЕЛЬ	70522325	23	80,74
СД_УГПЭС_ГРУППА_ТЕХНОЛОГИЧЕСКОГО_И_ФИНАНСОВОГО_КОНТРОЛЯ	74040983	27	38,24
ПЕД_КАБИНЕТ_ПРИЕМНАЯ_КОМИССИЯ	99457376	8	34,05
"ЧП_""СВИЧА"""	76693283	29	59,57
"ЗАО_""МЕДЕЯ-85"""	96310811	13	61,65
"ФИРМ_""ШАНС"""	68033210	21	46,49
МАСТЕРА_КИП_И_А	59842474	223	71,32
"ПОМЕЩЕНИЕ_ЧП_""СЕВМЕДТЕХ"""	25939685	15	79,77
ОТДЕЛ_1_НАЧ	94913706	37	26,34
"ПОМЕЩЕНИЕ_ООО_""ИНЖЕК"""	87195779	4	27,93
СЕВ.ГОР._РЕМОНТНО-СТРОИТ._ТРЕСТ_УЧАСТОК_РБУ_(РАСТВОРО-БЕТОННЫЙ_УЗЕЛ)	46002562	53	56,51
ГИНЕКОЛОГ_ОТД_СТ_СЕСТРА_ПОСТ	41708228	98	2,83
"ГИДРОУЗЕЛ_9_ГКП_""СЕВГОРВОДОКАНАЛ"""	80432286	50	12,15
"ООО_""МАСТЕР_СЕВИС"""	73314654	80	60,84
ГЛ._БУХГАЛТЕР_К.49	92112248	160	90,54
РП_35	75417872	2	21,3
ПРЕДПРИЯТИЕ_ГОРСВЕТ	3815091	32	44,24
"МАГАЗИН_""ГАЛАНТУС"""	19143006	13	16,24
СГПЭС_ПРОЕКТНО-КОНСТРУКТОРСКИЙ_ОТДЕЛ	43933280	6	94,08
ОБЩИЙ_ЗАВЕДУЮЩИЙ	51117731	10	67,02
ОТДЕЛ_ОРГАНИЗАЦИИ_УПРАВЛЕНИЯ	98622643	10	31,91
ПК_559	34578400	51	86,69
"ЗАО_""СЕВАСТОПОЛЬСКИЙ_СТРОЙПРОЕКТ"""	43391179	11	63,28
"ГИДРОУЗЕЛ_3_ГКП_""СЕВГОРВОДОКАНАЛ"""	17476618	27	70,28
ФТОРС_ЗАВХОЗ	37739822	41	21,68
ПРИЕМНЫЙ_ПУНКТ	9348508	14	98,36
"УЧАСТОК_ВОДОПРОВОДА_ЛЕНИНСКОГО_РАЙОНА_ГКП_""СЕВГОРВОДОКАНАЛ"""	82450197	11	80,43
ЦБТ_ИНЖЕНЕР	13061612	40	24,76
ОБЩЕЖИТИЕ_1997_ОМИС_КЧФ	77649	20	80,09
КАБИНЕТ_ПРОФОСМОТРА_ВРЕДНИКОВ	60149398	25	11,57
КАБИНЕТ_ЭЛЕКТРОТЕХН_ДИСЦИПЛИН	99886098	89	15,97
ЗАМ.НАЧ.ЦЕХА_КАБ.17	22502730	45	14,39
ОТДЕЛЕНИЕ_СВЯЗИ_24	44211488	32	12,6
"ЦЕХ_МОРОЖЕННОГО_ОАО_""СЕВАСТОПОЛЬСКИЙ_ХЛАДОКОМБИНАТ"""	25325624	22	13,09
КОМАНДИР	25769553	20	78,03
ОТД_СНАБЖЕНИЯ	51922084	9	71,45
В/Ч_87134	63439883	1	30,97
ДИРЕКТОР_ОБЩИЙ	7048140	45	57,04
КОМНАТА_412	68932910	10	5,28
ОТДЕЛЕНИЕ_СВЯЗИ_28	88125759	21	77,59
5-ОЕ_ОТД_УПРАВЛЯЮЩИЙ	45292818	23	40,22
ЗАМ_ПО_БЫТУ_И_КАДРАМ	32689982	1	45,62
ЗАМ_НАЧ_КТЦ	36399479	39	85,71
ОТД.ГОСРЕЕСТРА_ФИЗ.ЛИЦ_К.112	33623119	24	12,52
ОТД_СЛЕДСТВЕННЫЙ	24223803	48	81,75
СНАБЖЕНИЯ_И_СБЫТА_ОТД_НАЧ	70371222	7	8,2
СИГНАЛИЗАЦИЯ	20733715	49	16,59
Т/А_В_ТАКС._МАСТЕРСКОЙ	76810300	5	59,92
ШКОЛА_58_ОТДЕЛА_ОБРАЗОВАНИЯ_ГАГАРИНСКОЙ_РАЙГОСАДМИНИСТРАЦИИ	76904819	43	2,76
ВНУТРЕННЯЯ_СВЯЗЬ_88	10081895	12	86,87
КАБИНА_14	3597809	43	34,2
САПТ_ОТДЕЛ	13788247	39	80,29
"ФОЙЕ_""МОЛОДЕЖНОГО_ЦЕНТРА"""	74291613	31	62,42
ПОЛИКЛИНИКА_ДЕТСКАЯ_3_(ФИЛИАЛ)	2180956	28	76,84
ГИДРОСООРУЖЕНИЙ_ОТД	68988345	66	90,07
СЕВАСТОПОЛЬСКИЙ_ЦЕНТР_ПРОФТЕХОБРАЗОВАНИЯ_ИМ.МАР.ИНЖ.ВОЙСК_А.В.ГЕЛОВАНИ	28856284	2	69,3
"ПОМЕЩЕНИЕ,_АРЕНДОВАННОЕ_У_СЕВ._АВТОБАЗЫ_(ООО_""СИМОНА"")"	1054437	40	5,82
УЧЕТА_И_ОТЧЕТН_ОТДЕЛ	22475117	13	96,02
"СПМО_""ТИТАН"""	10691892	8	2,94
ЛАБОРАТОРИЯ_ОТДЕЛА_ООИ	42271667	68	64
АП_РСУ-7	33470210	17	15,67
ИНФОРМАЦИОННЫЙ_ОТД	68018553	86	90,39
КУЛЬТУРЫ_ОТД	55309307	125	9,13
РЕАНИМАЦИЯ_ЗАВ	25859267	6	15
"ПОДСТАНЦИЯ_N_6_ГАЭК_""СЕВАСТОПОЛЬГОРЭНЕРГО"""	5743699	24	61,29
ИНСПЕКЦИЯ_ПОЖ_НАДЗОРА	43586705	107	93,84
"ЖД_СТ_ТОВАРНАЯ_""ЗОЛОТАЯ_БАЛКА"""	74048729	45	70,34
ТЕХПЕРСОНАЛ_КРОСС	44726785	58	70,72
ДЕЖ_АДМИНИСТРАТОР	3109781	20	79,4
ДЕПАР_ПРИБОРОСТРОЕНИЕ_ЛАБОР	96979209	44	25,21
ГЛАВНЫЙ_АГРОНОМ	84598978	37	35,22
ДЕЖУРНЫЙ_ОМИС	76326962	70	99,97
ИНДУСТРИАЛЬН_12_ЦЕХ_7_ЗАМ_НАЧ	84182758	23	53,89
ЗАМ.НАЧАЛЬНИКА_ТЕР-Я_СЕВМОРЗАВ	3838843	34	82,08
ОТДЕЛЕНИЕ_СВЯЗИ_55	83310769	24	78,09
"О.О.О._МПП_""ТРУД"""	67670481	26	30,74
"О.О.О._КОМПАНИЯ_""КАНБАН"""	80593932	62	71,5
ЗАВОД_ЮЖРЕММАШ	55405989	97	45,34
НАЧ_ОТД_КАДРОВ	85509208	75	24,09
ФИЛИАЛ_4_ЦЕНТРАЛИЗОВАННОЙ_БИБЛИОТЕЧНОЙ_СИСТЕМЫ_ДЛЯ_ДЕТЕЙ_Г.СЕВАСТОПОЛЯ	81200124	8	20,29
"ИНВЕСТИЦИОННОЕ_ПРЕДПРИЯТИЕ_""НОВЫЙ_ГОРОД"""	9934200	14	41,94
ОТД_ТРУД_И_ЗАРПЛАТЫ	2112523	186	43,98
ЛАБОРАТОРИЯ_СРАВН_РАДИОКОЛОГИИ	14616164	4	27,57
ДИРЕКТОР,БУХГАЛТЕРИЯ	80840953	145	54,65
"ОФИС_ЧП_""БОЛЬШАЯ_МОРСКАЯ"""	37359113	33	88,95
ЛАБОРАТОРИЯ_ПОЛИКЛИНИКИ_ДЕТСКОЙ_2	61916113	43	24,34
"ЗАО_ТОРГОВОЕ_ПРЕДПРИЯТИЕ_""ОРЛИНОЕ"""	14518345	1	92,66
БУХГАЛТЕРИЯ_РОДДОМА_N1	31618627	9	-0,05
"1-ОЕ_КАРДИОЛОГ_ОТД_ПАЛ_""ВОЛНА"""	53449050	58	46,06
НАЧ_ОТДЕЛА	92184098	18	17,05
КОТЕЛЬНАЯ_(СЕВЕРНАЯ_СТОРОНА)	25006676	18	94,71
ОТДЕЛ_ДОКУМЕНТАЛЬНЫХ_ПРОВЕРОК_ФИЗИЧЕСКИХ_ЛИЦ	7722068	110	43,73
СЛУЖБА_ВОДОПРОВОДА	78747637	50	57,12
БАЗА_ФИОЛЕНТ_ШОССЕ_5_НАЧ	82517429	12	55,29
ОТДЕЛ_КАДРОВ,РАСЧЕТНЫЙ_ОТДЕЛ	84428039	12	7,02
ТЕЛЕКС	68044219	36	10,1
ОТРАСЛЕВОЙ_СОВЕТ_ПРЕДСЕДАТЕЛЕЙ_ПРОФКОМОВ_КРЫМСКОЙ_ОБЛ	83383485	48	14,69
ГЛ_МЕХАНИКА_ОТД	21442295	48	14,45
ДЕТСКИЙ_САД_33	17915317	70	31,23
"МАГАЗИН_""ХЛЕБНЫЙ""_1_ОТ_ХЛЕБОКОМБИНАТА_ИМ._С.М.КИРОВА"	72521043	117	21
БУХГАЛТЕРИЯ_МАТЕРИАЛЬНАЯ	21331554	5	52,07
ДОМ_ПРЕСТАРЕЛЫХ_(3_ЭТАЖ)	78731582	28	47,37
"4_ОТД._""ЗОЛОТОЙ_БАЛКИ"""	75047716	72	49,87
СЕВАСТОПОЛЬДОРСТРОЙ_ТРАНСПОРТНЫЙ_УЧАСТОК	48174773	41	0,99
ОТДЕЛ_ЗАПАСОВ_ЛЕНИНА,34	51466601	47	91,74
"Г.К.П._""О.Т.Р.-ЧАЙКА"""	50391436	57	17,2
ПЕРЕГОВОРНАЯ_КАБИНА_6	738844	32	97,7
СПЕЦ_ПО_СТРАХ,БУХГАЛТЕРИЯ	50696655	40	89,72
ПЕДИАТР_ОТД_ДЛЯ_НЕДОНОШ_ПОСТ	68828148	3	12,54
РЕДАКТОР	50708460	19	61,56
ГОРОДСКОЙ_ТАКСОФОН	74011522	25	55,54
АБОН_ОТД	17835079	20	16,5
ОТДЕЛ_КОНТРОЛЯ_ЗА_ОХРАНОЙ_ЗЕМЛИ	89080410	68	1,03
СЕРТИФИКАЦИИ_ОТД	16575485	52	17,9
"ОФИС_ООО_""АУДИТОРСКАЯ_ФИРМА_""САУС_СТАР"""	16870623	17	27,69
КИЕВСКАЯ_9_ЦЕХ_6_ТЕХОТДЕЛ	59910944	53	58,33
ЦТЭ_МТС_ПРОЕКТНОЕ_ЗВЕНО_ГРУППЫ_РАЗВИТИЯ	94502798	44	61,3
АПТЕКА_БОЛЬНИЦЫ	99369214	22	79,04
РЭП-2_УЧАСТОК_1	93185557	61	39,71
КАБИНА	95064216	137	28,41
"МАГАЗИН_8_ЗАО_""КРАТОН""_(МАГ_ПРОД)"	7093828	21	1,98
"3-ИЙ_ЭНЕРГОРАЙОН_ГКП_""СЕВТЕПЛОЭНЕРГО"""	2803812	7	0,56
"ООО_""СЕЛЬВА"""	41817576	13	92,19
АДМИНИСТРАТИВ_ОТД_ЗАВ	95487671	80	65,16
ЦЕХ_РММ_МАКСИМОВА_ДАЧА	62582070	4	97,67
"ООО_""ЛИДЕРСТРОЙ"""	23718042	167	70,86
МУЗЫКАЛЬНАЯ_ШКОЛА_8	60616469	34	1,42
ОТД_РАБОТЫ_С_ЛИЧНЫМ_СОСТАВОМ	47435859	23	11,69
"СКЛАД_N2_ООО_ПТФ_""АНКОР"""	8901674	14	2,03
"ООО_""ГЯНДЖА""_(МАГАЗИН)"	56921481	48	35,72
КАССА_ТЕЛЕГРАФА	75665840	48	19,39
ФИЗ.ЛИЦО_РЕМЧУКОВ_В.И._ПАСПОРТ_I-АП_N678760_ВЫДАН_21.10.76_РОВД_НАХИМ.	59891532	83	41,47
СБУ	77402769	42	93,91
МОЛОЧНАЯ_КУХНЯ_ГОРБОЛЬНИЦЫ_N9	57022823	2	41,73
"ОАО_СЕВАСТОПОЛЬСКИЙ_ПРИБОРОСТРОИТЕЛЬНЫЙ_ЗАВОД_""ПАРУС"""	29296024	6	11,03
"МАГАЗИН_III-Б_НА_РЫНКЕ_""ВОРОНЦОВСКИЙ"""	9162332	42	78,91
"АРЕНДНОЕ_ПРЕДПРИЯТ_ОБЩЕСТВЕННОГО_ПИТАНИЯ_""ИНКЕРМАН"""	95549467	53	47,67
ОТД_ЭКСПЛУАТАЦИИ_ЖИЛЬЯ	92013758	7	86,92
СО_ЗАМ_НАЧ	23341970	9	90,06
"ПИОНЕРСКИЙ_ЛАГЕРЬ_""НАХИМОВЕЦ""_С/Х_П_ОСИПЕНКО"	88655583	111	17,49
"ООО_""АЛТИС"""	55105346	30	25,93
КАДРОВ_ОТД_МЕДПУНКТ_ЮРИСТ	26081009	91	73,9
1-ОЕ_КАРДИОЛОГ_ОТД_ОРДИНАТОР	25320365	171	11,26
ГОСУДАРСТВЕННОЕ_КОММУНАЛЬНОЕ_АТП_ТОРГОВЛИ	76043416	126	84,05
"ЗАО_""МАГАЗИН_N_55"""	41126962	75	70,56
НАЧ_ТПС	54246846	143	86,33
1-ОЕ_КАРДИОЛ_ОТД_ЭКГ	57636166	15	3,53
СЕВАСТОПОЛЬСКИЙ_ЛЕСХОЗЗАГ	30168210	5	4,71
МАСТЕРСКИЕ_ДИРЕКТОР	50405625	89	84,61
СЛУЖЕБНЫЙ_EWSD	38942604	66	92,8
ПТУ_(ВХОД)	64652811	4	49,14
ГЛ_ЩИТ_УПРАВЛЕНИЯ	65944307	75	92,59
ЭЛЕКТРОННАЯ_ПОЧТА_КАНЦЕЛЯРИЯ	60380216	52	39,83
"ГСК_""КИПАРИС-3"""	40458744	20	96,06
ШКОЛА_14_КАБ.58	11704922	1	79,45
УНИВЕР._(Б.МОРСКАЯ_21_У_ВАХТЫ)	54428403	34	66,68
"КЛУБ_""УТОС"""	10887887	33	8,57
"ЗАО_""БОТ"""	75005631	38	50,8
ДЕПАР_УЧЕТ_И_ФИНАНСЫ	2790962	19	39,85
"ТЕЛЕРАДИОЦЕНТР_ВМС_УКРАИНЫ_""БРИЗ"""	59964822	43	84,3
ТЕХНИК_ПО_ТАРИФИКАЦИИ_К.25	14835833	2	87,94
ПОСТ_МИЛИЦИИ	56506490	20	58,76
ИНДУСТРИАЛЬН_12_ПРОХОДНАЯ	32974857	62	12,33
СПЕЦ_ПО_БЫТ_ОБСЛУЖ_ПЕНСИОНЕРОВ	31420697	60	7,38
